147. Printing statistics.

=== tt_um_gen1_digital_companion_tile ===

        +----------Local Count, excluding submodules.
        |        +-Local Area, excluding submodules.
        |        | 
      173        - wires
      208        - wire bits
       34        - public wires
       69        - public wire bits
        8        - ports
       43        - port bits
      189  4.6E+03 cells
        5   87.808   gf180mcu_fd_sc_mcu7t5v0__and2_1
        2   43.904   gf180mcu_fd_sc_mcu7t5v0__aoi211_1
       12  210.739   gf180mcu_fd_sc_mcu7t5v0__aoi21_1
        1   24.147   gf180mcu_fd_sc_mcu7t5v0__aoi221_1
        7  138.298   gf180mcu_fd_sc_mcu7t5v0__aoi22_1
        8   105.37   gf180mcu_fd_sc_mcu7t5v0__buf_1
       23  201.958   gf180mcu_fd_sc_mcu7t5v0__clkinv_1
       25  1865.92   gf180mcu_fd_sc_mcu7t5v0__dffrnq_1
        1   79.027   gf180mcu_fd_sc_mcu7t5v0__dffsnq_1
        5   164.64   gf180mcu_fd_sc_mcu7t5v0__mux2_2
       20   219.52   gf180mcu_fd_sc_mcu7t5v0__nand2_1
        4   61.466   gf180mcu_fd_sc_mcu7t5v0__nand3_1
        2   39.514   gf180mcu_fd_sc_mcu7t5v0__nand4_1
       36  474.163   gf180mcu_fd_sc_mcu7t5v0__nor2_1
        2   35.123   gf180mcu_fd_sc_mcu7t5v0__nor3_1
        4   87.808   gf180mcu_fd_sc_mcu7t5v0__oai211_1
       11  193.178   gf180mcu_fd_sc_mcu7t5v0__oai21_1
        1   26.342   gf180mcu_fd_sc_mcu7t5v0__oai221_1
        1   21.952   gf180mcu_fd_sc_mcu7t5v0__oai22_1
        4   96.589   gf180mcu_fd_sc_mcu7t5v0__oai31_1
        1   26.342   gf180mcu_fd_sc_mcu7t5v0__oai32_1
        4   70.246   gf180mcu_fd_sc_mcu7t5v0__or2_1
        1   26.342   gf180mcu_fd_sc_mcu7t5v0__or4_1
        2   17.562   gf180mcu_fd_sc_mcu7t5v0__tiel
        1   28.538   gf180mcu_fd_sc_mcu7t5v0__xnor2_1
        2   52.685   gf180mcu_fd_sc_mcu7t5v0__xor2_1
        4  201.958   gf180mcu_fd_sc_mcu7t5v0__xor3_1

   Chip area for module '\tt_um_gen1_digital_companion_tile': 4601.139200
     of which used for sequential elements: 1944.947200 (42.27%)

